Timestamp,Event type,Response,Username
2024-05-30 01:01:07.374000+00:00,Signin,Success,aaaaa:frank@hotmail.com
2024-05-29 12:01:07.374000+00:00,Signin,Failure,aaaaa:frank@hotmail.com
2024-05-30 03:01:07.374000+00:00,Signin,Success,aaaaa:frank@hotmail.com
2024-05-29 12:01:07.374000+00:01,Signin,Failure,aaaaa:frank@hotmail.com
2024-05-29 12:01:07.374000+00:01,Signin,Success,aaaaa:frank@hotmail.com
2024-05-29 14:01:07.374000+00:01,Signin,Failure,bbbbb:john@yahoo.ca
2024-05-29 14:03:07.374000+00:02,Signin,Failure,bbbbb:john@yahoo.ca
2024-05-29 14:05:07.374000+00:02,Signin,Failure,bbbbb:john@yahoo.ca
2024-05-29 17:01:07.374000+00:02,Signin,Failure,bbbbb:john@yahoo.ca
2024-05-29 18:01:07.374000+00:03,Signin,Success,bbbbb:john@yahoo.ca
2024-05-29 19:01:07.374000+00:03,Signin,Success,cccccc:fredd@gmail.com
2024-05-29 19:01:07.374000+00:03,Signin,Success,cccccc:fredd@gmail.com
2024-05-29 22:01:07.374000+00:04,Signin,Success,cccccc:fredd@gmail.com
2024-05-29 22:01:07.374000+00:04,Signin,Failure,cccccc:fredd@gmail.com
2024-05-29 20:01:07.374000+00:04,Signin,Success,cccccc:fredd@gmail.com
